Sıra,Salon,Makine No,Marka,Model,Oyun Türü
1,ALÇAK TAVAN,2126,EGT,G50 J1,Green General
2,ALÇAK TAVAN,2127,EGT,G50 J1,Fruits General HD
3,ALT SALON,2131,EGT VIP,G50/50,Fruits Collection 2
4,ALT SALON,2132,EGT VIP,G50/50,Fruits Collection 2
5,ALT SALON,2133,EGT VIP,G50/50,Fruits Collection 2
6,YÜKSEK TAVAN,2134,EGT VIP,G50/50,Purple Collection
7,YÜKSEK TAVAN,2138,EGT VIP,G50/50,Purple Collection
8,ALT SALON,2139,EGT VIP,G50/50,Fruits Collection 2
9,YENİ VİP SALON,2192,EGT,P-27/27 ST,Orange Collection
10,YENİ VİP SALON,2194,EGT,P-27/27 ST,Purple Collection
11,ALT SALON,2195,EGT,P-27/27 ST,Green General
12,ALT SALON,2196,EGT,P-27/27 ST,Green Collection
13,ALT SALON,2197,EGT,P-27/27 ST,Fruits Collection 2
14,ALT SALON,2199,EGT,P-27/27 ST,Union Collection
15,ALT SALON,2200,EGT,P-27/27 ST,Green General
16,ALT SALON,2221,EGT,P-27/27 ST,Fruits Collection 2
17,ALT SALON,2222,EGT,P-27/27 ST,Fruits Collection 2
18,ALT SALON,2224,EGT,P-27/27 ST,Red Collection
19,ALT SALON,2225,EGT,P-27/27 ST,Fruits Collection 2
20,ALT SALON,2226,EGT,P-27/27 ST,Fruits Collection 2
21,ALT SALON,2227,EGT,P-27/27 ST,Red Collection
22,ALT SALON,2228,EGT,P-27/27 ST,Fruits Collection 2
23,ALT SALON,2229,EGT,P-27/27 ST,Red Collection
24,ALT SALON,2230,EGT,P-27/27 ST,Fruits Collection 2
25,ALT SALON,2245,EGT,P-27/27 ST,Purple Collection
26,ALT SALON,2246,EGT,P-27/27 ST,Purple Collection
27,ALT SALON,2247,EGT,P-27/27 ST,Purple Collection
28,ALT SALON,2248,EGT,P-27/27 ST,Purple Collection
29,ALT SALON,2249,EGT,P-27/27 ST,Red Collection
30,ALT SALON,2250,EGT,P-27/27 ST,Red Collection
31,YENİ VİP SALON,2257,EGT,P-27/27 ST,Purple Collection
32,YENİ VİP SALON,2258,EGT,P-27/27 ST,Fruits Collection 2
33,YENİ VİP SALON,2259,EGT,P-27/27 ST,Purple Collection
34,ALT SALON,2290,EGT,P-27/27 ST,Fruits Collection
35,ALT SALON,2291,EGT,P-27/27 ST,Red Collection
36,ALT SALON,2292,EGT,P-27/27 ST,Green Collection
37,ALT SALON,2293,EGT,P-27/27 ST,Fruits Collection
38,ALT SALON,2294,EGT,P-27/27 ST,Fruits Collection
39,ALT SALON,2295,EGT,P-27/27 ST,Fruits Collection
40,ALT SALON,2298,EGT,P-27/27 ST,Fruits Collection
41,ALT SALON,2299,EGT,P-27/27 ST,Orange Collection
42,ALT SALON,2324,EGT,P-27/27 ST,Fruits Collection 2
43,ALÇAK TAVAN,2325,EGT,G50 J1,Fruits General HD
44,ALÇAK TAVAN,2334,EGT,G50 J1,Fruits General HD
45,ALÇAK TAVAN,2335,EGT,G50 J1,Fruits General HD
46,ALÇAK TAVAN,2336,EGT,G50 J1,Fruits General HD
47,ALÇAK TAVAN,2337,EGT,G50 J1,Fruits General HD
48,ALÇAK TAVAN,2338,EGT,G50 J1,Fruits General HD
49,ALÇAK TAVAN,2339,EGT,G50 J1,Fruits General HD
50,ALÇAK TAVAN,2340,EGT,G50 J1,Fruits General HD
51,ALÇAK TAVAN,2341,EGT,G50 J1,Fruits General HD
52,ALÇAK TAVAN,2342,EGT,G50 J1,Green General
53,ALÇAK TAVAN,2343,EGT,G50 J1,Green General
54,YENİ VİP SALON,2360,EGT,P-27/27 ST,Purple Collection
55,YENİ VİP SALON,2361,EGT,P-27/27 ST,Union Collection
56,YENİ VİP SALON,2362,EGT,P-27/27 ST,Purple Collection
57,YENİ VİP SALON,2363,EGT,P-27/27 ST,Red Collection
58,YENİ VİP SALON,2364,EGT,P-27/27 ST,Fruits Collection 2
59,ALÇAK TAVAN,2365,EGT,G50 J1,BellLink x50
60,ALÇAK TAVAN,2366,EGT,G50 J1,BellLink x50
61,ALÇAK TAVAN,2367,EGT,G50 J1,BellLink x50
62,ALÇAK TAVAN,2368,EGT,G50 J1,BellLink x50
63,ALÇAK TAVAN,2369,EGT,G50 J1,BellLink x50
64,ALÇAK TAVAN,2370,EGT,G50 J1,BellLink x50
65,ALÇAK TAVAN,2371,EGT,G50 J1,BellLink x50
66,ALÇAK TAVAN,2372,EGT,G50 J1,BellLink x50
67,ALÇAK TAVAN,2373,EGT,G50 J1,BellLink x50
68,ALÇAK TAVAN,2374,EGT,G50 J1,BellLink x50
69,ALÇAK TAVAN,2375,EGT,G50 J1,BellLink x50
70,ALÇAK TAVAN,2376,EGT,G50 J1,BellLink x50
71,ALÇAK TAVAN,2377,EGT,G50 J1,BellLink x50
72,ALÇAK TAVAN,2378,EGT,G50 J1,BellLink x50
73,ALÇAK TAVAN,2383,EGT,G50 J1,Fruits General
74,ALÇAK TAVAN,2384,EGT,G50 J1,Green General
75,ALÇAK TAVAN,2386,EGT,G50 J1,Fruits General
76,ALÇAK TAVAN,2387,EGT,G50 J1,Fruits General
77,ALÇAK TAVAN,2389,EGT,G50 J1,Fruits General
78,ALÇAK TAVAN,2390,EGT,G50 J1,Green General
79,ALÇAK TAVAN,2410,EGT,G50 J1,Fruits General
80,ALÇAK TAVAN,2411,EGT,G50 J1,Green General
81,YÜKSEK TAVAN,2426,EGT VIP,G50/50,Fruits General
82,YENİ VİP SALON,2443,EGT,G55 J1,BellLink x250
83,YÜKSEK TAVAN,2459,EGT VIP,G50/50,Purple Collection
84,YÜKSEK TAVAN,2460,EGT VIP,G50/50,Purple Collection
85,ALÇAK TAVAN,2462,EGT,G50 J1,Fruits Premier
86,ALT SALON,2584,EGT,G50 J1,BellLink x25
87,ALT SALON,2585,EGT,G50 J1,BellLink x25
88,ALT SALON,2586,EGT,G50 J1,BellLink x25
89,ALT SALON,2587,EGT,G50 J1,BellLink x25
90,ALT SALON,2588,EGT,G50 J1,BellLink x25
91,ALT SALON,2589,EGT,G50 J1,BellLink x25
92,ALT SALON,2590,EGT,G50 J1,BellLink x25
93,ALT SALON,2591,EGT,G50 J1,BellLink x25
94,ALT SALON,2592,EGT,G50 J1,BellLink x25
95,ALT SALON,2593,EGT,G50 J1,BellLink x25
96,ALT SALON,2594,EGT,G50 J1,BellLink x25
97,ALT SALON,2595,EGT,G50 J1,BellLink x25
98,YÜKSEK TAVAN,2597,EGT VIP,G50/50,Fruits General
99,YÜKSEK TAVAN,2602,EGT,G55 J1,BellLink x250
100,YÜKSEK TAVAN,2603,EGT,G55 J1,BellLink x250
101,YENİ VİP SALON,2604,EGT,G55 J1,BellLink x250
102,YÜKSEK TAVAN,2605,EGT,G55 J1,BellLink x250
103,YÜKSEK TAVAN,2606,EGT,G55 J1,BellLink x250
104,YENİ VİP SALON,2607,EGT,G55 J1,BellLink x250
105,ALÇAK TAVAN,2622,EGT,G50 J1,Fruits Collection
106,ALÇAK TAVAN,2623,EGT,G50 J1,Green General
107,ALT SALON,2624,EGT,G50 J1,BellLink x25
108,ALT SALON,2625,EGT,G50 J1,BellLink x25
109,ALT SALON,2626,EGT,G50 J1,BellLink x25
110,ALT SALON,2627,EGT,G50 J1,BellLink x25
111,ALT SALON,2628,EGT,G50 J1,BellLink x25
112,ALT SALON,2629,EGT,G50 J1,BellLink x25
113,ALT SALON,2630,EGT,G50 J1,BellLink x25
114,ALT SALON,2631,EGT,G50 J1,BellLink x25
115,ALT SALON,2632,EGT,P-27/27 ST,Fruits Collection 2
116,ALT SALON,2633,EGT,P-27/27 ST,Fruits Collection 2
117,ALT SALON,2634,EGT,P-27/27 ST,Fruits Collection 2
118,YENİ VİP SALON,2635,EGT,P-27/27 ST,Fruits Collection 2
119,YENİ VİP SALON,2722,EGT,G55 J1,BellLink x250
120,YENİ VİP SALON,2723,EGT,G55 J1,BellLink x250
121,YENİ VİP SALON,2724,EGT,G55 J1,BellLink x250
122,YENİ VİP SALON,2725,EGT,G55 J1,BellLink x250
123,YENİ VİP SALON,2726,EGT,G55 J1,BellLink x250
124,YENİ VİP SALON,2727,EGT,G55 J1,BellLink x250
125,YENİ VİP SALON,2728,EGT,G55 J1,BellLink x250
126,YENİ VİP SALON,2729,EGT,G55 J1,BellLink x250
127,YENİ VİP SALON,2730,EGT,G55 J1,BellLink x250
128,YENİ VİP SALON,2731,EGT,G55 J1,BellLink x250
129,YENİ VİP SALON,2732,EGT,G50 J1,BellLink x250
130,YENİ VİP SALON,2738,EGT,G50 J1,Green General
131,YÜKSEK TAVAN,2760,Interblock,Organic Roullet,Golden Ball
132,YÜKSEK TAVAN,2761,Interblock,Organic Roullet,Golden Ball
133,YÜKSEK TAVAN,2762,Interblock,Organic Roullet,Golden Ball
134,YÜKSEK TAVAN,2763,Interblock,Organic Roullet,Golden Ball
135,YÜKSEK TAVAN,2764,Interblock,Organic Roullet,Golden Ball
136,YÜKSEK TAVAN,2765,Interblock,Organic Roullet,Golden Ball
137,YÜKSEK TAVAN,2766,Interblock,Organic Roullet,Golden Ball
138,YÜKSEK TAVAN,2767,Interblock,Organic Roullet,Golden Ball
139,YÜKSEK TAVAN,2768,Interblock,Organic Roullet,Golden Ball
140,YÜKSEK TAVAN,2769,Interblock,Organic Roullet,Golden Ball
141,YENİ VİP SALON,2770,EGT,P-27/27 ST,Fruits Collection 2
142,YÜKSEK TAVAN,2799,EGT,G50 J1,BellLink x100
143,YÜKSEK TAVAN,2800,EGT,G50 J1,BellLink x100
144,ALT SALON,2801,EGT,G50 J1,BellLink x50
145,ALÇAK TAVAN,2802,EGT,G50 J1,BellLink x50
146,YÜKSEK TAVAN,2803,EGT,G50 J1,BellLink x100
147,YÜKSEK TAVAN,2804,EGT,G50 J1,BellLink x100
148,ALT SALON,2805,EGT,G50 J1,BellLink x50
149,ALT SALON,2806,EGT,G50 J1,BellLink x50
150,YÜKSEK TAVAN,2807,EGT,G50 J1,BellLink x100
151,YÜKSEK TAVAN,2808,EGT,G50 J1,BellLink x100
152,ALT SALON,2809,EGT,G50 J1,BellLink x50
153,ALT SALON,2810,EGT,G50 J1,BellLink x50
154,YÜKSEK TAVAN,2811,EGT,G50 J1,BellLink x100
155,YÜKSEK TAVAN,2812,EGT,G50 J1,BellLink x100
156,YÜKSEK TAVAN,2813,EGT,G50 J1,BellLink x100
157,ALT SALON,2853,Apex,Curve,Shared x25
158,ALT SALON,2854,Apex,Curve,Shared x25
159,ALT SALON,2855,Apex,Curve,Shared x25
160,ALT SALON,2856,Apex,Curve,Shared x25
161,ALÇAK TAVAN,2857,Apex,Curve,Shared x25
162,ALÇAK TAVAN,2858,Apex,Curve,Shared x25
163,ALÇAK TAVAN,2859,Apex,Curve,Shared x25
164,ALÇAK TAVAN,2860,Apex,Curve,Shared x25
165,ALÇAK TAVAN,2861,Apex,Curve,Shared x25
166,ALÇAK TAVAN,2862,Apex,Curve,Shared x25
167,ALÇAK TAVAN,2863,Apex,Curve,Shared x25
168,ALÇAK TAVAN,2864,Apex,Curve,Shared x25
169,ALÇAK TAVAN,2865,Apex,Curve,Shared x25
170,ALÇAK TAVAN,2866,Apex,Curve,Shared x25
171,ALT SALON,2867,Apex,Curve,Shared x25
172,ALT SALON,2868,Apex,Curve,Shared x25
173,ALT SALON,2869,Apex,Curve,Shared x25
174,ALT SALON,2870,Apex,Curve,Shared x25
175,ALT SALON,2871,Apex,Curve,Shared x25
176,YÜKSEK TAVAN,2925,Apex,Curve,Elements x100
177,YÜKSEK TAVAN,2926,Apex,Curve,Elements x100
178,YÜKSEK TAVAN,2927,Apex,Curve,Elements x100
179,YÜKSEK TAVAN,2928,Apex,Curve,Elements x100
180,YÜKSEK TAVAN,2929,Apex,Curve,Elements x100
181,YÜKSEK TAVAN,2930,Apex,SL32,Elements x100
182,YÜKSEK TAVAN,2931,Apex,Curve,Elements x100
183,YÜKSEK TAVAN,2932,Apex,Curve,Elements x100
184,YÜKSEK TAVAN,2933,Apex,Curve,Elements x100
185,YÜKSEK TAVAN,2934,Apex,Curve,Elements x100
186,ALT SALON,2935,Apex,Curve,Elements x25
187,ALT SALON,2936,Apex,Curve,Elements x25
188,ALT SALON,2937,Apex,Curve,Elements x25
189,ALT SALON,2938,Apex,Curve,Elements x25
190,ALT SALON,2939,Apex,Curve,Elements x25
191,ALT SALON,2940,Apex,Curve,Elements x25
192,ALT SALON,2941,Apex,Curve,Elements x25
193,ALT SALON,2942,Apex,Curve,Elements x25
194,ALT SALON,2943,Apex,Curve,Elements x25
195,ALT SALON,2944,Apex,Curve,Elements x25
196,YENİ VİP SALON,2946,EGT,G55 J1,Fruits Collection
197,YENİ VİP SALON,2947,EGT,G50 J1,Fruits Collection
198,YENİ VİP SALON,2948,EGT,G50 J1,Fruits Collection
199,YENİ VİP SALON,2949,EGT,G50 J1,Fruits Collection
200,YÜKSEK TAVAN,2951,EGT VIP,G50/50,Fruits Collection
201,YÜKSEK TAVAN,2952,EGT VIP,G50/50,Fruits Collection
202,YÜKSEK TAVAN,2953,EGT VIP,G50/50,Fruits Collection
203,YÜKSEK TAVAN,2954,EGT VIP,G50/50,Fruits Collection
204,YÜKSEK TAVAN,2955,EGT VIP,G50/50,Fruits Collection
205,YÜKSEK TAVAN,2956,EGT VIP,G50/50,Fruits Collection
206,ALÇAK TAVAN,2957,Apex,Curve,Elements x50
207,ALÇAK TAVAN,2958,Apex,Curve,Elements x50
208,ALÇAK TAVAN,2959,Apex,Curve,Elements x50
209,ALÇAK TAVAN,2960,Apex,Curve,Elements x50
210,ALÇAK TAVAN,2961,Apex,Curve,Elements x50
211,ALÇAK TAVAN,2962,Apex,Curve,Elements x50
212,ALÇAK TAVAN,2963,Apex,Curve,Elements x50
213,ALÇAK TAVAN,2964,Apex,Curve,Elements x50
214,ALÇAK TAVAN,2965,Apex,Curve,Elements x50
215,ALÇAK TAVAN,2966,Apex,Curve,Elements x50
216,ALÇAK TAVAN,2967,Apex,Curve,Elements x50
217,ALÇAK TAVAN,2968,Apex,Curve,Elements x50
218,YENİ VİP SALON,2969,EGT,G55 J1,BellLink x250
219,YENİ VİP SALON,2970,EGT,G55 J1,BellLink x250
220,YENİ VİP SALON,2971,EGT,G55 J1,BellLink x250
221,YÜKSEK TAVAN,2972,EGT,G50 J1,BellLink x100
222,YÜKSEK TAVAN,2973,EGT,G50 J1,BellLink x100
223,YÜKSEK TAVAN,2974,EGT,G50 J1,BellLink x100
224,YÜKSEK TAVAN,2975,EGT,G50 J1,BellLink x100
225,YÜKSEK TAVAN,2976,EGT,G50 J1,BellLink x100
226,YÜKSEK TAVAN,2977,EGT,G50 J1,BellLink x100
227,ALT SALON,2978,EGT,G50 J1,BellLink x25
228,ALT SALON,2979,EGT,G50 J1,BellLink x25
229,ALT SALON,2980,EGT,G50 J1,BellLink x25
230,ALT SALON,2981,EGT,G50 J1,BellLink x25
231,ALT SALON,2982,EGT,G50 J1,BellLink x25
232,ALT SALON,2983,EGT,G50 J1,BellLink x25
233,ALÇAK TAVAN,2984,Apex,SL32,Elements x50
234,ALÇAK TAVAN,2985,Apex,SL32,Elements x50
235,ALÇAK TAVAN,2986,Apex,SL32,Elements x50
236,ALÇAK TAVAN,2987,Apex,SL32,Elements x50
237,ALÇAK TAVAN,2988,Apex,SL32,Elements x50
238,ALÇAK TAVAN,2989,Apex,SL32,Elements x50
239,ALÇAK TAVAN,2990,Apex,SL32,Elements x50
240,ALÇAK TAVAN,2991,Apex,SL32,Elements x50
241,ALÇAK TAVAN,2992,EGT,G50 J1,BellLink x50
242,ALÇAK TAVAN,2993,EGT,G50 J1,BellLink x50
243,ALÇAK TAVAN,2994,EGT,G50 J1,BellLink x50
244,ALÇAK TAVAN,2995,EGT,G50 J1,BellLink x50
245,ALÇAK TAVAN,2996,EGT,G50 J1,BellLink x50
246,ALÇAK TAVAN,2997,EGT,G50 J1,BellLink x50
247,ALÇAK TAVAN,2998,EGT,G50/50,Fruits General HD
248,ALÇAK TAVAN,2999,EGT,G50/50,Fruits General HD
249,ALÇAK TAVAN,3000,EGT,G50/50,Fruits General HD
250,ALÇAK TAVAN,3001,EGT,G50/50,Fruits General HD
251,ALÇAK TAVAN,3002,EGT,G50/50,Fruits General HD
252,ALÇAK TAVAN,3003,EGT,G50/50,Fruits General HD
253,ALÇAK TAVAN,3004,EGT,G50/50,Fruits General HD
254,ALÇAK TAVAN,3005,EGT,G50/50,Fruits General HD
255,ALÇAK TAVAN,3006,EGT,G50/50,Fruits General HD
256,ALT SALON,3007,EGT,G50 J1,BellLink x50
257,ALT SALON,3008,EGT,G50 J1,BellLink x50
258,ALT SALON,3009,EGT,G50 J1,BellLink x50
259,ALT SALON,3010,EGT,G50 J1,BellLink x50
260,ALT SALON,3011,EGT,G50 J1,BellLink x50
261,ALT SALON,3012,EGT,G50 J1,BellLink x50
262,ALT SALON,3013,EGT,G50 J1,BellLink x50
263,YÜKSEK TAVAN,3014,EGT,S32-32ST,BellLink x100
264,YÜKSEK TAVAN,3015,EGT,S32-32ST,BellLink x100
265,YÜKSEK TAVAN,3016,EGT,S32-32ST,BellLink x100
266,YÜKSEK TAVAN,3017,EGT,S32-32ST,BellLink x100
267,YÜKSEK TAVAN,3018,EGT,S32-32ST,BellLink x100
268,YÜKSEK TAVAN,3019,EGT,S32-32ST,BellLink x100
269,YÜKSEK TAVAN,3020,EGT,S32-32ST,BellLink x100
270,YÜKSEK TAVAN,3021,EGT,S32-32ST,BellLink x100
271,YÜKSEK TAVAN,3022,EGT,S32-32ST,BellLink x100
272,YÜKSEK TAVAN,3023,EGT,S32-32ST,BellLink x100
273,YÜKSEK TAVAN,3024,EGT,S32-32ST,BellLink x100
274,YÜKSEK TAVAN,3025,EGT,S32-32ST,BellLink x100
275,ALÇAK TAVAN,3026,EGT,G50 J1,BellLink x50
276,ALÇAK TAVAN,3027,EGT,G50 J1,BellLink x50
277,ALÇAK TAVAN,3028,EGT,G50 J1,BellLink x50
278,ALÇAK TAVAN,3029,EGT,G50 J1,BellLink x50
279,ALÇAK TAVAN,3030,EGT,G50 J1,BellLink x50
280,ALÇAK TAVAN,3031,EGT,G50 J1,BellLink x50
281,ALÇAK TAVAN,3032,EGT,G50 J1,BellLink x50
282,YÜKSEK TAVAN,3033,EGT,G50 J1,BellLink x250
283,YÜKSEK TAVAN,3034,EGT,G50 J1,BellLink x250
284,YÜKSEK TAVAN,3035,EGT,G50 J1,BellLink x250
285,YÜKSEK TAVAN,3036,EGT,G50 J1,BellLink x250
286,YENİ VİP SALON,3037,EGT,G50 J1,BellLink x250
287,YENİ VİP SALON,3038,EGT,G50 J1,BellLink x250
288,ALT SALON,3039,EGT,G50 J1,BellLink x25
289,ALT SALON,3040,EGT,G50 J1,BellLink x25
290,ALT SALON,3041,EGT,G50 J1,BellLink x25
291,ALT SALON,3042,EGT,G50 J1,BellLink x25
292,ALT SALON,3043,EGT,G50 J1,BellLink x25
293,ALT SALON,3044,EGT,G50 J1,BellLink x25
294,ALT SALON,3045,Apex,Curve,Elements x25
295,ALT SALON,3046,Apex,Curve,Elements x25
296,ALT SALON,3047,Apex,Curve,Elements x25
297,ALT SALON,3048,Apex,Curve,Elements x25
298,ALT SALON,3049,Apex,Curve,Elements x25
299,ALT SALON,3050,Apex,Curve,Elements x25
300,YENİ VİP SALON,3051,EGT,G50 J1,BellLink x250
301,YENİ VİP SALON,3052,EGT,G50 J1,BellLink x250
302,YENİ VİP SALON,3053,EGT,G55 J1,BellLink x250
303,YENİ VİP SALON,3054,EGT,G50 J1,BellLink x250
304,YENİ VİP SALON,3055,EGT,G50 J1,BellLink x250
305,YENİ VİP SALON,3056,EGT,G50 J1,BellLink x250
306,YÜKSEK TAVAN,3057,Apex,SL32,Elements x100
307,YÜKSEK TAVAN,3058,Apex,SL32,Elements x100
308,YÜKSEK TAVAN,3059,Apex,SL32,Elements x100
309,YÜKSEK TAVAN,3060,Apex,SL32,Elements x100
310,YÜKSEK TAVAN,3061,Apex,SL32,Elements x100
311,YÜKSEK TAVAN,3062,Apex,SL32,Elements x100
312,YÜKSEK TAVAN,3063,Apex,SL32,Elements x100
313,YÜKSEK TAVAN,3064,Apex,SL32,Elements x100
314,YÜKSEK TAVAN,3065,Apex,SL32,Elements x100
315,YÜKSEK TAVAN,3066,Apex,SL32,Elements x100
316,YÜKSEK TAVAN,3067,Apex,SL32,Elements x100
317,YÜKSEK TAVAN,3068,Apex,SL32,Elements x100
318,YÜKSEK TAVAN,3069,Apex,SL32,Elements x100
319,YÜKSEK TAVAN,3070,Apex,SL32,Elements x100
320,YÜKSEK TAVAN,3071,Apex,SL32,Elements x100
321,YENİ VİP SALON,3072,Novomatic,Black Edition 2,Extension Link Volume 3
322,YENİ VİP SALON,3073,Novomatic,Black Edition 2,Extension Link Volume 3
323,YENİ VİP SALON,3074,Novomatic,Black Edition 2,Extension Link Volume 3
324,YENİ VİP SALON,3075,Novomatic,Black Edition 2,Extension Link Volume 3
325,YENİ VİP SALON,3076,Novomatic,Black Edition 2,Extension Link Volume 3
326,YENİ VİP SALON,3077,Novomatic,Black Edition 2,Extension Link Volume 3
327,YENİ VİP SALON,3078,Novomatic,Black Edition 2,Extension Link Volume 3
328,YENİ VİP SALON,3079,Novomatic,Black Edition 2,Extension Link Volume 3
329,YÜKSEK TAVAN,3080,Interblock,Organic Roullet,—
330,YÜKSEK TAVAN,3081,Interblock,Organic Roullet,—
331,YÜKSEK TAVAN,3082,Interblock,Organic Roullet,—
332,YÜKSEK TAVAN,3083,Interblock,Organic Roullet,—
333,YÜKSEK TAVAN,3084,Interblock,Organic Roullet,—
334,YÜKSEK TAVAN,3085,Interblock,Organic Roullet,—
335,YÜKSEK TAVAN,3086,Interblock,Organic Roullet,—
336,YÜKSEK TAVAN,3087,Interblock,Organic Roullet,—
337,YÜKSEK TAVAN,3088,Interblock,Organic Roullet,—
338,YÜKSEK TAVAN,3089,Interblock,Organic Roullet,—